dataset,folder,source,organism,sample_type,image_file,label_file,image_path,label_path,dimensions,spacing
lucchi++,lucchi,lucchi,lucchi,lucchi,lucchi++_im.h5,lucchi++_mito.h5,/projects/weilab/dataset/MitoLE/lucchi/lucchi++_im.h5,/projects/weilab/dataset/MitoLE/lucchi/lucchi++_mito.h5,"[82, 768, 512]","[10.0, 10.0, 10.0]"
fly_brain,mitoNet_easy,mitoNet_easy,fly,brain,fly_brain_im.h5,fly_brain_mito.h5,/projects/weilab/dataset/MitoLE/mitoNet_easy/fly_brain_im.h5,/projects/weilab/dataset/MitoLE/mitoNet_easy/fly_brain_mito.h5,"[256, 255, 255]","[15.0, 15.0, 15.0]"
hela_cell,mitoNet_easy,mitoNet_easy,human,cell,hela_cell_im.h5,hela_cell_mito.h5,/projects/weilab/dataset/MitoLE/mitoNet_easy/hela_cell_im.h5,/projects/weilab/dataset/MitoLE/mitoNet_easy/hela_cell_mito.h5,"[256, 256, 256]","[15.0, 15.0, 15.0]"
glycolytic_muscle,mitoNet_easy,mitoNet_easy,glycolytic,muscle,glycolytic_muscle_im.h5,glycolytic_muscle_mito.h5,/projects/weilab/dataset/MitoLE/mitoNet_easy/glycolytic_muscle_im.h5,/projects/weilab/dataset/MitoLE/mitoNet_easy/glycolytic_muscle_mito.h5,"[302, 383, 765]","[15.0, 15.0, 15.0]"
salivary_gland,mitoNet_hard,mitoNet_hard,salivary,gland,salivary_gland_im.h5,salivary_gland_mito.h5,/projects/weilab/dataset/MitoLE/mitoNet_hard/salivary_gland_im.h5,/projects/weilab/dataset/MitoLE/mitoNet_hard/salivary_gland_mito.h5,"[1260, 1081, 1200]","[15.0, 15.0, 15.0]"
c_elegans,mitoNet_hard,mitoNet_hard,c_elegans,elegans,c_elegans_im.h5,c_elegans_mito.h5,/projects/weilab/dataset/MitoLE/mitoNet_hard/c_elegans_im.h5,/projects/weilab/dataset/MitoLE/mitoNet_hard/c_elegans_mito.h5,"[256, 256, 256]","[15.0, 15.0, 15.0]"
fib1-4-3-0,urocell,urocell,fib1,4,fib1-4-3-0_im.h5,fib1-4-3-0_mito.h5,/projects/weilab/dataset/MitoLE/urocell/fib1-4-3-0_im.h5,/projects/weilab/dataset/MitoLE/urocell/fib1-4-3-0_mito.h5,"[256, 256, 256]","[15.0, 16.0, 16.0]"
fib1-3-2-1,urocell,urocell,fib1,3,fib1-3-2-1_im.h5,fib1-3-2-1_mito.h5,/projects/weilab/dataset/MitoLE/urocell/fib1-3-2-1_im.h5,/projects/weilab/dataset/MitoLE/urocell/fib1-3-2-1_mito.h5,"[256, 256, 256]","[15.0, 16.0, 16.0]"
fib1-1-0-3,urocell,urocell,fib1,1,fib1-1-0-3_im.h5,fib1-1-0-3_mito.h5,/projects/weilab/dataset/MitoLE/urocell/fib1-1-0-3_im.h5,/projects/weilab/dataset/MitoLE/urocell/fib1-1-0-3_mito.h5,"[256, 256, 256]","[15.0, 16.0, 16.0]"
fib1-3-3-0,urocell,urocell,fib1,3,fib1-3-3-0_im.h5,fib1-3-3-0_mito.h5,/projects/weilab/dataset/MitoLE/urocell/fib1-3-3-0_im.h5,/projects/weilab/dataset/MitoLE/urocell/fib1-3-3-0_mito.h5,"[256, 256, 256]","[15.0, 16.0, 16.0]"
fib1-0-0-0,urocell,urocell,fib1,0,fib1-0-0-0_im.h5,fib1-0-0-0_mito.h5,/projects/weilab/dataset/MitoLE/urocell/fib1-0-0-0_im.h5,/projects/weilab/dataset/MitoLE/urocell/fib1-0-0-0_mito.h5,"[256, 256, 256]","[15.0, 16.0, 16.0]"
mitoem-h_den_train,wei20,wei20,mitoem,h,mitoEM-H_den_train_im.h5,mitoEM-H_den_train_mito.h5,/projects/weilab/dataset/MitoLE/wei20/mitoEM-H_den_train_im.h5,/projects/weilab/dataset/MitoLE/wei20/mitoEM-H_den_train_mito.h5,"[500, 4096, 4096]","[30.0, 8.0, 8.0]"
mitoem-h_den_test,wei20,wei20,mitoem,h,mitoEM-H_den_test_im.h5,mitoEM-H_den_test_mito.h5,/projects/weilab/dataset/MitoLE/wei20/mitoEM-H_den_test_im.h5,/projects/weilab/dataset/MitoLE/wei20/mitoEM-H_den_test_mito.h5,"[500, 4096, 4096]","[30.0, 8.0, 8.0]"
mitoem-h_den,wei20,wei20,mitoem,h,mitoEM-H_den_im.h5,mitoEM-H_den_mask.h5,/projects/weilab/dataset/MitoLE/wei20/mitoEM-H_den_im.h5,/projects/weilab/dataset/MitoLE/wei20/mitoEM-H_den_mask.h5,"[500, 4096, 4096]","[30.0, 8.0, 8.0]"
pc2-0,wilson19,wilson19,pc2,0,pc2-0_im.h5,pc2-0_mask.h5,/projects/weilab/dataset/MitoLE/wilson19/pc2-0_im.h5,/projects/weilab/dataset/MitoLE/wilson19/pc2-0_mask.h5,"[256, 1024, 1024]","[16.0, 16.0, 16.0]"
pc9-0,wilson19,wilson19,pc9,0,pc9-0_im.h5,pc9-0_mask.h5,/projects/weilab/dataset/MitoLE/wilson19/pc9-0_im.h5,/projects/weilab/dataset/MitoLE/wilson19/pc9-0_mask.h5,"[256, 1024, 1024]","[16.0, 16.0, 16.0]"
pc9-1,wilson19,wilson19,pc9,1,pc9-1_im.h5,pc9-1_mask.h5,/projects/weilab/dataset/MitoLE/wilson19/pc9-1_im.h5,/projects/weilab/dataset/MitoLE/wilson19/pc9-1_mask.h5,"[256, 1024, 1024]","[16.0, 16.0, 16.0]"
vol0,xiao18,xiao18,vol0,vol0,vol0_im.h5,vol0_mito.h5,/projects/weilab/dataset/MitoLE/xiao18/vol0_im.h5,/projects/weilab/dataset/MitoLE/xiao18/vol0_mito.h5,"[31, 2104, 2156]","[50.0, 8.0, 8.0]"
